title,description,status,update_log,Resource
Faruk Fatih Özer’in Türkiye’ye iadesi temyize gitti,"Arnavutluk Mahkemesinin, kripto para borsası Thodex'in kurucusu Faruk Fatih Özer’in Türkiye’ye iadesiyle ilgili kararı temyize gitti.",1,X,TRT
"Altun: Türkiye, krizlerin çözümü için aldığı inisiyatiflerle kahramandır","İletişim Başkanı Fahrettin Altun, ""Türkiye hemen her alanda fikrine ve tecrübesine başvurulan, anlaşmazlıkların çözüm adresi olan bir orkestra şefidir. Bugün Türkiye, küresel krizlerin çözümü için aldığı inisiyatiflerle bir kahramandır"" dedi.",1,X,TRT
Videonun Beylikdüzü'ndeki ağaç taşıma işlemini gösterdi,Sosyal medyada paylaşılan videonun Beylikdüzü’nde yapılan yol çalışması sırasında yolun ortasında kalan ağaçların taşınma işlemini gösterdiği iddia edildi.,0,√,TeyitOrg-False
Bakan Varank Macaristan'da Türk iş insanlarıyla görüştü,"Sanayi ve Teknoloji Bakanı Mustafa Varank, resmi temaslarda bulunmak üzere geldiği Macaristan'da Türk iş insanlarıyla buluştu.",1,X,TRT
10. sınıf kitabının kaynakçasında porno site bağlantısı verildi,"archive.org üzerinden 2010 yılına kadar takip edebildiğimiz sitede 2020 yılına dek dini içerikler paylaşılmış. Alan adı 2021 yılında pornografik içerikler paylaşanlarca alınmış.
",0,√,TeyitOrg-False
MİT'ten MLKP'nin sözde Suriye sabotaj sorumlusuna operasyon,"MİT tarafından Suriye Haseke'de düzenlenen operasyonda MLKP'nin sözde Suriye sabotaj sorumlusu 'Fırat Neval' kod adlı Özgür Namoğlu, etkisiz hale getirildi.",1,X,TRT
Adıyaman'da depremzedeler askeri uçaklarla tahliye edildi,"Depremin etkilediği 10 ilden biri olan Adıyaman’daki depremzedeler, deprem bölgelerine yardım getiren Türk Silahlı Kuvvetleri'ne ait GM-235 Casa uçakları ile tahliye edildi.
",1,X,TRT
Danimarka'da arazilerin yüzde 5’ine arılar için çiçekli bitki ekmenin zorunlu oldu,"Danimarka’da arazilerin yüzde 5'i arılar için ayrılmak zorunda değil. Ancak Avrupa Komisyonu, aynı oranı biyoçeşitliliğe ayıranlara teşvik veriyor.",0,√,TeyitOrg-False
A Haber'in Şeker hastalığı bitecek alt bandı kullandı,"Sosyal medyada paylaşılan bir görüntüde A Haber'in satışa çıkarılan şeker fabrikaları haberini ""Şeker hastalığı bitecek"" alt bandıyla sunduğu iddia edildi.",0,√,TeyitOrg-False
Bakan Akar'dan yüzer hastanelere inceleme,"Milli Savunma Bakanı Hulusi Akar beraberindeki TSK komuta kademesi ile depremde yaralananlar için hastane hizmeti vermeye başlayan TCG Sancaktar gemisinde incelemelerde bulundu, tedavi gören vatandaşları ziyaret etti.",1,X,TRT
Videonun Ankara'daki kar yağışından sonra çekildi,"Sosyal medyada paylaşılan bir videonun, Ankara’ya yağan kardan sonra çocuklarla birlikte kayan bir polisi gösterdiği iddia edildi.",0,√,TeyitOrg-False
Fotoğraf Davutoğlu parti kurduktan sonra değil 2012 yılında çekildi,Sosyal medyada paylaşılan bir fotoğrafın Ahmet Davutoğlu'nun 2019 sonunda partisini kurduktan sonra yaptığı ziyareti gösterdiği iddia edildi.,0,X,TeyitOrg-False
"İletişim Başkanlığı, Dezenformasyon Bülteni'ni yayımladı","İletişim Başkanlığı Dezenformasyonla Mücadele Merkezince, 2-8 Ocak'ı kapsayan Dezenformasyon Bülteni yayımlandı.",1,X,TRT
Almanya’da bir fil bakıcısının fil dışkısı altına kalarak can verdi,"Almanya Paderborn hayvanat bahçesinde bir fil bakıcısının hayvan dışkısı altında kalarak can verdiği bilgisinin kaynağı, parodi bir haber. ",0,√,TeyitOrg-False
Bakan Muş: Haksız fiyat artışlarına ağır idari cezalar uygulanacak,"Ticaret Bakanı Mehmet Muş, asgari ücret zammını fırsat bilerek haksız fiyat artışlarına giden fırsatçılara en ağır idari cezaların uygulanacağını söyledi.",1,X,TRT
Münih Filarmoni Orkestrası’nın Rus şef Valery Gergiev'i görevden almadı,"Rus şef Valery Gergiev, Putin ile bağları ve Rusya’nın saldırısını kınamadığından dolayı Münih Filarmoni Orkestrası'ndaki şeflik görevinden alındı.",0,√,TeyitOrg-False
Ronaldo’nun karantinadayken Kuran okudu,"Ronaldo’nun koronavirüs karantinasındayken Kuran okuduğunu açıkladığı iddiası, futbolcu hakkında daha önce de mizahi paylaşım yapan hesaba ait.",0,√,TeyitOrg-False
Dünya Sağlık Örgütü ve HES uygulamasına ilişkin iddialar,DSÖ’nün ülkelere temas takibi uygulamalarını dayatmıyor. Örgütün 2019’da temas takibini önermediği salgınlar ise grip salgınlarıydı. Grip Covid-19 kadar öldürücü ve tehlikeli bir hastalık değil.,0,X,TeyitOrg-False
"Bakan Çavuşoğlu'ndan Pompeo'nun kitabına tepki: Abartı var, çifte standart var","Dışişleri Bakanı Mevlüt Çavuşoğlu, Pompeo'nun kitabı ile ilgili, ""Bir kere gerçek dışı bilgiler var ki diplomatik bir dil ile söylüyorum siz buna yalan da diyebilirsiniz. Abartı var, Çifte standart var"" dedi.",1,X,TRT
Tokyo’da insan eti satan restoran açıldı,"Sosyal medyada ve bazı internet sitelerinde, Japonya’nın başkenti Tokyo’da insan eti satan bir restoran açıldığı iddia edildi.",0,√,TeyitOrg-False
Cumhuriyet Gazetesi ile İSPARK arasında aylık 341 bin liralık abonelik sözleşmesi imzalandı,Bazı haber sitelerinde 1 Ekim 2019’da yer alan bir iddiaya göre İBB iştiraki İSPARK ile Cumhuriyet Gazetesi arasında aylık 341 bin lira değerinde bir abonelik sözleşmesi imzalandı.,0,√,TeyitOrg-False
Rus kozmonotların Ukrayna’ya destek için sarı giysiler giydi,Uzaya gidecek kozmonotların kıyafetleri çok önceden hazırlanıyor ve renk seçimi kendilerine ait değil. Rus yetkililer de iddiaların doğru olmadığını dile getirdi.,0,√,TeyitOrg-False
Ispanak zehirlenmelerinin organofosfat nedeniyle oldu,Sosyal medyada ve bazı haber sitelerinde yer alan paylaşımlarda ıspanak zehirlenmelerinin nedeninin organofosfat adlı bir pestisit olduğu iddia edildi.,0,√,TeyitOrg-False
Fotoğrafların Kayaşehir’in eski ve yeni halini gösterdi,Paylaşılan fotoğrafların Nevşehir’deki Kayaşehir’in eski ve yeni halini gösterdiği iddia edildi.,0,√,TeyitOrg-False
10 ilde 134 bin 499 binanın hasar tespit çalışmaları tamamlandı,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı Yapı İşleri Genel Müdürlüğü depremlerden etkilenen 10 ildeki hasar tespit çalışmalarıyla ilgili bilgileri paylaştı.",1,X,TRT
Hudut kartalları 5'i terörist 8 kişiyi yakaladı,"Suriye ve Yunanistan’a yasa dışı yollarla geçmeye çalışan 6 kişi, Suriye’den Türkiye'ye sızmaya çalışan 2 kişi yakalandı. Yakalanan şahıslardan 3’ünün FETÖ, 2’sinin ise PKK/PYD/YPG terör örgütü mensubu olduğu belirlendi.",1,X,TRT
FDA’nın Covid-19 aşısının kalp krizi riskini 71 kat artırdığını söyledi,"Kalp krizleri ile Covid-19 aşıları arasında bilinen bir bağ yok. Kalp krizi sayısı arttıysa bile, bunun nedeni hastalığın kendi ile pandeminin dolaylı etkileri.  ",0,√,TeyitOrg-False
İsveç parlamentosunun AB’nin Türkiye’ye silah ambargosu için harekete geçeceğini açıkladı,"İsveç parlamentosunun AB’nin Türkiye’ye silah ambargosu uygulaması için harekete geçeceği açıklamasının, NATO’ya katılım başvurusuyla ilgisi yok. Açıklama 2019 tarihli.
",0,√,TeyitOrg-False
Fotoğrafın işgal yıllarında İstanbul’da çekildi,"Sosyal medyada uzun zamandır dolaşan fotoğrafın, işgal yıllarında İstanbul’da üstlerini arayan İngiliz askerlerden hoşnut ahaliyi gösterdiği öne sürülüyor.",0,√,TeyitOrg-False
"Okullarda üretilen 1,6 milyon ekmek deprem bölgesine gönderildi","Milli Eğitim Bakanlığı, depremzedeler için okulların fırınlarında ekmek üretiyor. Ekmekler depremden etkilenen 10 ile gönderiliyor. Günlük 1 milyon 600 bin ekmek üretiliyor.",1,X,TRT
Japon bilim insanının Türklerin “garip” olduğunu söyledi,"Kalyo Yasuo isimli Japon bilim insanının Türklerin garip olduğunu söylediği iddia edildi.
",0,√,TeyitOrg-False
AK Parti Sözcüsü Çelik'ten Danimarka'da Kur'an-ı Kerim'e yapılan saygısızlığa tepki,"AK Parti Sözcüsü Ömer Çelik, ""Danimarka alçak bir faşistin kutsal kitabımız Kur’an-ı Kerim’e karşı nefret suçu işlemesine müsaade etti. Şiddetle kınıyoruz"" açıklamasını yaptı.",1,X,TRT
Yıkılan binalardan deliller toplanıyor,"Kahramanmaraş merkezli depremlerden etkilenen illerde yıkılan binalardan Cumhuriyet başsavcılıklarının soruşturmaları kapsamında beton, demir ve diğer malzemelerden deliller toplanıyor.",1,X,TRT
Fotoğrafın Peru’daki Gökkuşağı Dağları’nı gösterdi,Bir sanatçı tarafından sonradan renklendirilen fotoğrafın orijinali 2017’de ABD’de kaydedilmiş.,0,√,TeyitOrg-False
Fotoğrafın Suriye’de ABD tarafından bombalanan konvoyu gösterdi,"teyit.org’a ihbar olarak gelen ve sosyal medyada paylaşılan bir fotoğrafın, ABD tarafından Suriye’de vurulan askeri bir konvoyu gösterdiği iddia edildi.",0,√,TeyitOrg-False
"Bakan Özer'den ""taşımalı eğitim"" açıklaması","Milli Eğitim Bakanı Mahmut Özer, ""Depremden etkilenen 10 ilde çadır merkezleri, yurtlar, konteyner merkezleri gibi konaklama alanlarını taşımalı eğitim kapsamına aldık"" dedi.",1,X,TRT
TRT Radyo Haber 2023 yılına 3 yeni programla başlıyor,"TRT Radyo Haber, 2023 ile birlikte radyo haberciliğine yeni bir soluk getirmeyi hedefliyor. 3 yeni program, TRT Radyo Haber'de dinleyiciyle buluşuyor.",1,X,TRT
Kesik el fotoğrafının bıçaklı saldırıya uğrayan doktor Ertan İskender'e ait oldu,"Fotoğraftaki kesik el, hastasının saldırısına uğrayan doktor Ertan İskender’e ait değil.",0,√,TeyitOrg-False
DİHA’lar Türk topçusu için de yeni bir dönem başlatacak,Türkiye’nin S/İHA yolculuğunun yeni oyuncularından biri de Dikey İniş Kalkışlı İnsansız Hava Aracı (DİHA) olacak. Ülkemizde pek çok firma bu alanda platform üretiyor. Baykar DİHA’nın da yıl sonunda seri üretime başlaması bekleniyor. Uzmanlara göre DİHA’lar Türkiye’ye farklı alanlarda önemli kazanımlar sağlayabilir.,1,X,TRT
Suriyelilerin tüp bebek tedavisinden ücretsiz yararlandı,"Kayıtlı Suriyelilerin sağlık giderlerini SGK değil, Afet ve Acil Durum Yönetimi Başkanlığı (AFAD) karşılıyor. ",0,√,TeyitOrg-False
Hazine ve Maliye ile Dışişleri bakanlıklarının bütçelerinin görüşmelerine başlandı,TBMM Genel Kurulunda Hazine ve Maliye ile Dışişleri bakanlıklarının 2023 yılı bütçelerinin görüşmelerine başlandı.,1,X,TRT
Jennifer Lopez’in Atatürk ile ilgili Nazlı Çelik’e söylediği iddia edilen sözler ,Jennifer Lopez 2012 senesinde Nazlı Çelik’e verdiği röportajda Atatürk ile ilgili bir şey söylemiyor. Çelik sanatçıya Atatürk’le ilgili bir soru da yöneltmemiş.,0,X,TeyitOrg-False
Cumhurbaşkanı Erdoğan: Karşımıza yine 'yaptırmayız' ittifakıyla çıktılar,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Yeni bir seçimin arifesindeyiz. Karşımıza yine 'yaptırmayız' ittifakıyla çıktılar. Üstelik kendi aralarında da aynı taktiği izleyeceklerini ilan ediyorlar."" dedi.",1,X,TRT
Fotoğraf 23 Haziran İBB seçimi için İstanbul'a dönen seçmenleri değil Pekin'deki trafiği gösteriyor,Fotoğrafın 23 Haziran’da tekrarlanacak İstanbul Büyükşehir Belediyesi seçimlerinde oy kullanmak için İstanbul’a dönen seçmenleri gösterdiği iddia edildi.,0,X,TeyitOrg-False
Başsavcılıktan Sinan Ateş soruşturmasında savcı değişikliği haberlerine yanıt,"Ankara Cumhuriyet Başsavcılığı, Sinan Ateş cinayeti soruşturmasında Cumhuriyet savcısının değiştirildiği yönündeki haberlerin gerçeği yansıtmadığını açıkladı.",1,X,TRT
İstanbul'un dünya çapında uyuşturucu kullanımında ikinci sırada oldu,"İstanbul dünya çapında uyuşturucu kullanımında değil, karşılaştırıldığı diğer dokuz şehir arasında ikinci sırada.",0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, Lyon'daki Türk vatandaşlarına telefonla seslend","Cumhurbaşkanı Recep Tayyip Erdoğan, Lyon'daki vatandaşlara telefonla seslenerek, Türkiye'de yapılacak 2023 seçimleriyle ilgili Lyon'da daha büyük bir zafer elde edeceklerine inandığını söyledi.",1,X,TRT
Türkkan ve Başarır için TBMM'de Hazırlık Komisyonu kuruldu,TBMM Anayasa ve Adalet Karma Komisyonu'nda CHP’li Ali Mahir Başarır ve İyi Parti’li Lütfü Türkkan hakkındaki dokunulmazlığın kaldırılması dosyalarının incelenmesi için hazırlık komisyonu kuruldu.,1,X,TRT
"Yunan casus, Suriye sınırı ve Mersin Limanı hakkında bilgi toplamış","Yunanistan için casusluk yaptığı gerekçesiyle Gaziantep'te tutuklanan 12,5 yıl hapisle cezalandırılan sanığın, Türkiye'nin Suriye sınırındaki önlemler ve Mersin Limanı hakkında bilgiler topladığı ortaya çıktı.",1,X,TRT
Görselin ortaçağda kadınların sabah eşlerine düşük dozlu zehir verdiğini gösterdi,Görsel 14. yüzyılda Latinceye “Tacuinum Sanitatis” diye çevrilen Takvim Es-Sıhha adlı sağlık kitabında “kırmızı şarap kusan adam” notuyla yer alıyor. Eşini zehirleyen ortaçağlı kadınlarla ilgisi yok.,0,√,TeyitOrg-False
Şanlıurfa merkezli 16 ilde 'change' araç operasyonu: 19 gözaltı,"Şanlıurfa merkezli 16 ilde, şase numaraları değiştirilmiş otomobilleri satan kişilere yönelik gerçekleştirilen ""Kazıntı-1"" operasyonunda, 19 şüpheli yakalandı, 51 otomobile el konuldu.",1,X,TRT
Türkiye'nin 10 lezzeti daha AB'de tescil yolunda,"Sanayi ve Teknoloji Bakanı Mustafa Varank, Türk Patent ve Marka Kurumu (TÜRKPATENT) tarafından Türkiye'nin 10 lezzeti için Avrupa Komisyonuna tescil başvurusu yapıldığını belirterek, ""Avrupa Birliği (AB) nezdinde coğrafi işaret sayısını 100'e çıkaracağız."" ifadesini kullandı.",1,X,TRT
TBMM Başkanı Şentop'tan İsveç'teki PKK rezaletine tepki,"TBMM Başkanı Şentop, Stockholm'de, PKK/YPG terör örgütünün Cumhurbaşkanı Erdoğan'ı hedef alan terör eylemine sert tepki gösterdi. Şentop, ""NATO'ya üyelik talebinde bulunan bir devlette bu saldırının kolaylıkla gerçekleşmesi tehlikeli ve vahimdir"" dedi.",1,X,TRT
The Simpsons'ta Kamala Harris'in ABD başkan yardımcısı olacağının tahmin edildi,Lisa Simpson’ın başkan olduğu ve Mart 2000’de yayınlanan bölümde giyilen elbiseyle Kamala Harris’inki benzer. Ancak The Simpson’da Harris’in başkan yardımcısı olacağı tahmin edilmedi.,0,√,TeyitOrg-False
Messi’nin maçın oyuncusu ödülünü Mac Allister’e verdi,İddia FIFA’yı taklit eden bir hesap tarafından ortaya atılmış.,0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, Kosova Başbakanı Kurti ile görüşecek","Cumhurbaşkanı Recep Tayyip Erdoğan, bugün Kosova Başbakanı Albin Kurti ile görüşecek.",1,X,TRT
Bahçeli ve Kılıçdaroğlu yarın grup toplantısında kürsüde olacak,Türkiye Büyük Millet Meclisi 28 Şubat'a kadar çalışmalarına ara verdi. Yarın MHP ve CHP'nin grup toplantıları yapılacak.,1,X,TRT
"Sağlık görevlisi, işitme engelli kişiden işaret diliyle bilgi aldı","Sağlık Bakanı Fahrettin Koca, acil sağlık hizmetleri istasyonu görevlisinin, işitme engelli bir vatandaştan işaret diliyle bilgi aldığı ana ilişkin görüntüleri paylaştı.",1,X,TRT
 Peru'da sağlık riskleri gerekçesiyle 5G sisteminin kaldırıldı,"Videodaki istasyon Kasım 2019’da izinsiz kurulduğu için sökülmüş. Peru’da 5G teknolojisi 2021 yılından itibaren kullanılmaya başlanmış. Sağlık riski nedeniyle yasaklanması gibi bir durum söz konusu değil.
",0,√,TeyitOrg-False
Kılıçdaroğlu: Türkiye dönüşümün aktörlerinden biri olmalı,"Cumhuriyet Halk Partisi Genel Başkanı Kemal Kılıçdaroğlu, bilim ve teknolojideki hızlı değişim ve dönüşüme dikkati çekerek, Türkiye'nin de bu dönüşümün aktörlerinden biri olması gerektiğini söyledi.",1,X,TRT
İçişleri Bakanlığı logosu bulunan seçim görevlisi kartlarıyla ilgili iddia,Sosyal medyada paylaşılan bir fotoğrafla İçişleri Bakanlığı’na ait seçim görevlisi yazılı kartların müşahit kartı olarak kullanılamayacağı iddia edildi.,1,X,TeyitOrg-True
Yılmaz: Önümüzdeki hafta gündeme alınmasında mutabakata vardık,"Anayasa değişikliği teklifi için AK Parti, MHP grubuyla görüşme gerçekleştirdi. AK Parti Grup Başkanı İsmet Yılmaz, ""Anayasa değişikliği teklifini önümüzdeki hafta komisyon gündemine alma konusunda mutabık kaldık"" dedi.",1,X,TRT
Koronavirüs salgını sonrası İran'da protokolün maske taktı,"Sosyal medya ve bir televizyon kanalında yayınlanan fotoğrafın, koronavirüs salgını sonrasında İran protokolünü gösterdiği iddia edildi.",0,√,TeyitOrg-False
Bakan Bilgin: 300 bin geçici işçinin kadrolu olarak çalışmaları sağlanacak,"Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin, 300 bin geçici işçinin kadrolu olarak çalışmalarının sağlanacağını açıkladı.",1,X,TRT
Pençe Kilit bölgesinde 3 terörist etkisiz hale getirildi,Pençe-Kilit Operasyonu bölgesinde 3 PKK'lı terörist ateş destek vasıtalarıyla etkisiz hale getirildi.,1,X,TRT
Videonun düşürülen Ermenistan uçağına ait oldu,"Sosyal medyada Ermenistan’ın düşürülen bir uçağa ait olduğu iddiasıyla paylaşılan video, simülasyon oyunu Arma 3’ten alınmış.",0,√,TeyitOrg-False
AFAD: 28 bin 44 vatandaşımız afet bölgesinden tahliye edildi,"AFAD, Kahramanmaraş merkezli depremden etkilenen 28 bin 44 vatandaşın afet bölgesinden tahliye edildiğini açıkladı. Vatandaşların 4 bin 607'si demiryolu, 23 bin 437'si havayolu ile tahliye edildi.",1,X,TRT
Videonun Arakanlılara uygulanan işkenceyi gösterdi,Sosyal medyada paylaşılan videonun Myanmar’ın Arakan eyaletinde yaşayan insanların maruz kaldığı işkencelerden birini gösterdiği iddia edildi.,0,√,TeyitOrg-False
Donald Trump'ın Mexico City valisine tokat attı,Sosyal medyada yaygınlaşan ve teyit.org’a ihbar olarak gönderilen bir videoyla ABD Başkanı Trump’ın Mexico City valisine tokat attığı iddia edildi.,0,√,TeyitOrg-False
Fotoğraf Yeni Zelanda'daki cami saldırısında kanla kaplanmış Kur'an-ı Kerim'i mi gösteriyor?,"Sosyal medyada paylaşılan fotoğrafın, Yeni Zelanda cami saldırısı sırasında sayfalarına kan bulaşmış bir Kur’an-ı Kerim’i gösterdiği iddia edildi.",0,X,TeyitOrg-False
Videonun 2020 Tokyo olimpiyatlarından oldu,"Devam eden olimpiyatlardan olduğu iddiasıyla paylaşılan video, 2015 Güneydoğu Asya oyunları sırasında kaydedilmiş.",0,√,TeyitOrg-False
Hakkari'de 56 kilogram uyuşturucu ele geçirildi,Hakkari hudut hattında yapılan arama-tarama faaliyetlerinde 3 çuval içerisinde 46 paket 47 kilo 500 gram toz eroin ve 8 kilo 500 gram metamfetamin uyuşturucu madde ele geçirildi.,1,X,TRT
Sinan Ateş'in katil zanlısı tutuklandı,Eski Ülkü Ocakları Eğitim ve Kültür Vakfı Başkanı ve Hacettepe Üniversitesi Öğretim Üyesi Doç. Dr. Sinan Ateş'in katil zanlısı Eray Ö. tutuklandı.,1,X,TRT
Beyrut’ta atom bombası patladı,Beyrut’taki patlamaya bir atom bombasının yol açtığı iddiası doğru değil. Resmi kaynaklara göre patlamanın sebebi depolanmış haldeki amonyum nitrat.,0,√,TeyitOrg-False
Memur-Sen Başkanı Yalçın'dan memura 'ilave zam' talebi,"Memur-Sen Genel Başkanı Ali Yalçın, enflasyon farkı ve toplu sözleşme dahil memur zam oranının yüzde 16,48 olduğunu söyledi. Yalçın, 'ilave zam' talebi yaparak, ""Devletimizin gücü ve paydaşlığıyla; yüzde 16,48 artışa ilave yapılacak 'ek zam' kamu görevlilerimizi rahatlatacak, unutulmayacaktır"" dedi.",1,X,TRT
Deprem bölgelerinde Deprem Suçları Soruşturma Büroları kurulacak,"Adalet Bakanlığı, Kahramanmaraş merkezli depremlerden etkilenen illerdeki savcılıklara Deprem Suçları Soruşturma Büroları kurulması için yazı gönderdi. Deprem Suçları Soruşturma Bürolarının, yıkılan binaların sorumlularının tespiti ile kaçma, delil karatma ihtimaline karşı koruma tedbirlerini tereddütsüz uygulayacağı belirtildi.",1,X,TRT
Videonun Rusya’daki Türk pilotların şovunu gösterdi,21 Mart 2019 tarihinde Facebook'ta paylaşılan bir videonun Türk pilotlarının Rusya’da gerçekleştirdiği gösteriye ait olduğu iddia edildi.,0,√,TeyitOrg-False
Türkiye ve Rusya arasındaki siyasi istişareler İstanbul'da yapılacak,"Rusya Dışişleri Bakan Yardımcısı Sergey Verşinin, Dışişleri Bakan Yardımcısı Sedat Önal ile İstanbul'da bir araya gelecek.",1,X,TRT
"Erdoğan, Ankara'da tedavi gören depremzedeleri ziyaret etti","Cumhurbaşkanı Recep Tayyip Erdoğan, Kahramanmaraş merkezli depremlerde yaralanan ve Ankara'daki hastanelerde tedavi altına alınan depremzedeleri ziyaret etti.",1,X,TRT
Cem Yılmaz'ın saldırıya uğrayan heykeli satın aldığı doğru değil,Elmacı'nın Contemporary İstanbul'da bir grup tarafından saldırıya uğrayan heykelin Cem Yılmaz tarafından satın alındığı iddiaları gerçek değil.,0,X,TeyitOrg-False
Metallica'nın resmi hesabından 'Melih Bulu istifa' diye tweet attı,Metallica’nın Twitter hesabında Melih Bulu’ya yönelik herhangi bir paylaşım bulunmuyor.,0,√,TeyitOrg-False
Türkiye'den hareket eden uçağın Suriye hava sahasını kullanarak Kuveyt'e gitti,"Türkiye sivil uçuşlarda Suriye hava sahasını kullanmaya başlamadı. Türkiye’den Kuveyt’e giden uçak Suriye hava sahasının kullanmıyor.
",0,√,TeyitOrg-False
Ronaldo’nun otellerini yeni koronavirüs nedeniyle hastaneye çevirdi,Ronaldo’nun otellerini yeni koronavirüs sebebiyle hastaneye çevireceği iddiası yanlış. Pestana Group’un yetkilileri iddiayı yalanladı.,0,√,TeyitOrg-False
Fotoğrafın Zonguldak’taki okul müdürüne ait kral dairesini gösterdi,"Fotoğrafların, Zonguldak Erdemir Anadolu Lisesi’nde kendisine “kral dairesi” yaptırdığı belirtilen okul müdürünün odasını gösterdiği iddia edildi.",0,√,TeyitOrg-False
Çalışma ve Sosyal Güvenlik Bakanı Bilgin TRT Haber'e konuk oluyor,"Cumhurbaşkanı Erdoğan EYT düzenlemesini açıkladı, 2 milyon 250 bin kişiye emeklilik yolu açıldı. Peki EYT’liler ilk emekli maaşlarını ne zaman alacak? Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin merak edilenleri saat 20.00'de TRT Haber'de anlatacak.
Cumhurbaşkanı Erdoğan EYT düzenlemesini açıkladı, 2 milyon 250 bin kişiye emeklilik yolu açıldı. Peki EYT’liler ilk emekli maaşlarını ne zaman alacak? Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin merak edilenleri saat 20.00'de TRT Haber'de anlatacak. Cumhurbaşkanı Erdoğan EYT düzenlemesini açıkladı, 2 milyon 250 bin kişiye emeklilik yolu açıldı. Peki EYT’liler ilk emekli maaşlarını ne zaman alacak? Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin merak edilenleri saat 20.00'de TRT Haber'de anlatacak.
",1,X,TRT
Videonun Boğaziçili Şeyma Altundal’ın gözaltına alındığı anları gösterdi,"22.00 civarı başlayan müdahale ile sağlık kontrolü işlemi arasında yaşananları gösteren herhangi bir bulgu yok. Emniyet tarafından paylaşılan video, bu aradaki zamanı aydınlatamıyor. ",0,√,TeyitOrg-False
Fotoğrafın Rusya'nın Ukrayna'daki bir hava saldırısını gösterdi,"Rusya'nın Ukrayna'daki bir hava saldırısını gösterdiği iddiasıyla paylaşılan fotoğraf, 2015’te Türkiye’nin düşürdüğü savaş uçağını gösteriyor.",0,√,TeyitOrg-False
Videonun güncel Rusya Ukrayna çatışmasında ölen askerleri gösterdi,Video güncel Rusya Ukrayna çatışmaları sonucunda ölen askerleri göstermiyor. Görüntüler 2014 yılında Donbass bölgesindeki çatışmalardan.,0,√,TeyitOrg-False
Ayşe-Mehmet Polat sitesinin müteahhidi yakalandı,"Gaziantep'te depremde yıkılan Ayşe-Mehmet Polat sitesinin müteahhidi Mehmet Ertan Akay, İstanbul'da gözaltına alındı.",1,X,TRT
Kanada'nın ceza kestiği Anadolu Kültür Vakfı'nın başkanının Osman Kavala oldu,Kanada Osman Kavala’nın başkanı olduğu vakfa yapılan bağışların PKK’ya aktarıldığını tespit etmedi. Kavala'nın Anadolu Kültür Vakfı ile ilgisi yok. ,0,√,TeyitOrg-False
‘Aradığınız kişiye şu an ulaşılamıyor’ uyarısı alındığında faturaya ücret yansıdı,"İddiaya göre birini aradığımızda “aradığınız kişiye şu an ulaşılamıyor” yanıtını alıyorsak Turkcell, Vodafone ve Türk Telekom faturamıza ücret yansıtıyor.",0,√,TeyitOrg-False
Bakan Bilgin: Vergi dilimleri için çalışma yapılıyor,"Çalışma ve Sosyal Güvenlik Bakanı Vedat Bilgin, ""Hazine ve Maliye Bakanlığı, maaşlardan kesilen vergi dilimleriyle ilgili çalışma yürütüyor. Çalışma bitince açıklayacağız, çalışanlar rahatlayacak"" dedi.",1,X,TRT
Fotoğrafların İzmir depremi sonrası Cumhurbaşkanı Erdoğan ve Özgür Özel'in yaralı ziyaretlerini gösterdi,Özgür Özel’in fotoğrafı deprem sonrası ziyaretlerden; ancak Erdoğan'ı hasta ziyaretinde gösteren fotoğraf 2017'de çekilmiş.,0,√,TeyitOrg-False
Fotoğrafın Mardin'de okul duvarına çizilen bir resmi gösterdi,Sosyal medyada paylaşılan bir fotoğrafın Mardin’de bir öğretmen tarafından okul duvarına çizilen resim olduğu iddia edildi.,0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, TRT ortak yayınına katılacak","Cumhurbaşkanı Recep Tayyip Erdoğan, bu akşam saat 21.00'de TRT ortak yayınında, gazetecilerin sorularını cevaplayacak, gündeme ilişkin değerlendirmelerde bulunacak.",1,X,TRT
Fotoğrafın bayram tatili nedeniyle Almanya’dan sınır dışı edilen 500 Suriyeliyi gösterdi,"Fotoğraf tatilde ülkelerine gittiği için Almanya’dan sınır dışı edilen Suriyelileri değil, 2015 yılında Almanya’ya giden sığınmacıları gösteriyor. ",0,√,TeyitOrg-False
NATO'nun hava savunma faaliyetine Türk jetleri de katıldı,"Romanya'da gerçekleştirilen 'NATO Entegre Hava Füze Savunması' faaliyetinde, Hava Kuvvetleri Komutanlığı'na ait muharip jetler ve tanker uçak da görev aldı. O anlar, Milli Savunma Bakanlığı tarafından paylaşıldı.",1,X,TRT
WhatsApp'ın değiştirdiği gizlilik sözleşmesi hakkındaki iddialar,"WhatsApp'ın 4 Ocak 2021’de yayınladığı yeni kullanım koşulları ve gizlilik ilkelerine göre, bazı veriler Facebook şirketleriyle paylaşılabilecek. Metni 8 Şubat’a kadar onaylamayanlar WhatsApp’ı kullanamayacak.",1,X,TeyitOrg-True
